CRATER_ID,LAT_CIRC_IMG,LON_CIRC_IMG,LAT_ELLI_IMG,LON_ELLI_IMG,DIAM_CIRC_IMG,DIAM_CIRC_SD_IMG,DIAM_ELLI_MAJOR_IMG,DIAM_ELLI_MINOR_IMG,DIAM_ELLI_ECCEN_IMG,DIAM_ELLI_ELLIP_IMG,DIAM_ELLI_ANGLE_IMG,LAT_ELLI_SD_IMG,LON_ELLI_SD_IMG,DIAM_ELLI_MAJOR_SD_IMG,DIAM_ELLI_MINOR_SD_IMG,DIAM_ELLI_ANGLE_SD_IMG,DIAM_ELLI_ECCEN_SD_IMG,DIAM_ELLI_ELLIP_SD_IMG,ARC_IMG,PTS_RIM_IMG,LAY_NUMBER,LAY_MORPH1,LAY_MORPH2,LAY_MORPH3,LAY_NOTES,INT_MORPH1,INT_MORPH2,INT_MORPH3,CONF,NOTES,DEG_RIM,DEG_EJC,DEG_FLR,hasRd,numLE_1,isRampart_1,isCircle_1,numLE_2,isRampart_2,isCircle_2,numLE_3,isRampart_3,isCircle_3,isHu_1,ejc_shape_1,isHu_2,ejc_shape_2,isHu_3,ejc_shape_3,ejc_svg_1,ejc_svg_2,ejc_svg_3
07-0-002505,-28.58015464,333.8015806,-28.58022178,333.801672,16.49079074,0.27239111,16.84718187,16.12124848,0.290382377,1.045029601,133.2122857,0.000459565,0.000526584,0.068226218,0.065322588,4.309597322,0.01806475,0.005986707,1,101,2,DLERS,HuSL,,,CpxCPt,Terraced / Gullies,Slump Deposits / Floor Deposits,,,3,2,3,0,2,1,0,2,1,0,,,,1,SL,1,SL,,,SL_S,SL_S,
03-1-004826,-12.06163458,203.5742486,-12.06169255,203.5742409,3.658244331,0.055586564,3.735114311,3.586547063,0.279230247,1.041423477,5.979272326,0.000199967,0.000222885,0.031305698,0.028236493,9.791738559,0.037970806,0.01197552,1,23,1,SLERS,SmBL,,,Smp,,,,,4,2,4,0,1,1,0,,,,,,,0,BL,,,,,BL_S,,
08-1-003264,-49.19539891,285.6009942,-49.19540012,285.6009154,3.60813199,0.063444964,3.706608268,3.489330989,0.337344948,1.062269036,71.85787695,0.000213016,0.000340519,0.03102282,0.032802492,6.692101787,0.033065021,0.013370467,1,28,2,DLEPS,SmSL,,,Smp,,,,,3,2,3,0,2,0,0,2,0,0,,,,0,SL,0,SL,,,SL_S,SL_S,
10-0-004140,11.44008848,59.19690306,11.44013803,59.19694333,12.34934216,0.222950033,12.70246146,11.98802688,0.330642128,1.059595677,175.6370204,0.000347043,0.000368451,0.05263723,0.050389691,3.34911039,0.015900034,0.006254272,1,73,1,SLEPS,HuBL,,,CpxCPt,Gullies,,,,3,2,3,0,1,0,0,,,,,,,1,BL,,,,,BL_S,,
06-1-011174,13.20074962,289.5571651,13.20127099,289.5583579,9.644021221,0.334815378,10.549048,8.91039588,0.535297636,1.183903402,38.74557577,0.000536833,0.000628515,0.098953597,0.073915956,2.202755076,0.016689867,0.014825078,0.87236124,48,2,DLERS,HuBL,Butterfly,,CpxUnc,Terraced,Floor Deposits,,,3,3,3,0,2,1,0,2,1,0,,,,1,BL,1,BL,,,BL_S,BL_S,
09-1-002499,49.22825573,9.091038123,49.22826328,9.091015773,4.973148109,0.050733799,5.045093291,4.899380164,0.238600327,1.029741135,130.3432349,9.57E-05,0.000143412,0.013953237,0.013683482,4.375993202,0.015535629,0.004047474,1,67,1,SLEPS,HuSL,,There are hints of a second lobe beyond the one I identified.,,,Floor Deposits,,,3,2,1,0,1,0,0,,,,,,,1,SL,,,,,SL_S,,
10-1-001212,39.93117073,13.83801621,39.93122437,13.83797754,6.586230692,0.137290266,6.914353014,6.214472799,0.438402733,1.112621012,83.86548164,0.000286089,0.000367742,0.04053896,0.04100245,2.800397627,0.016263762,0.009820555,1,43,1,SLERS,HuSL,,,,,,,,3,2,2,0,1,1,0,,,,,,,1,SL,,,,,SL_S,,
07-1-019789,-29.19984409,299.5776676,-29.19974459,299.5776618,7.696614301,0.173013468,7.790421858,7.584848821,0.228209377,1.027103116,3.135403674,0.000465294,0.000573935,0.075174427,0.069258269,15.23884928,0.055182494,0.013645107,1,52,1,SLERS,HuSL,,,CpxFF,,,,,3,2,3,0,1,1,0,,,,,,,1,SL,,,,,SL_S,,
05-1-000977,61.23192624,286.6076211,61.23196181,286.6076143,4.686888653,0.06211667,4.832979503,4.537190801,0.344468552,1.065192035,107.4946701,9.71E-05,0.000197917,0.014082593,0.013720394,2.219779051,0.010744411,0.004473175,1,60,1,SLERS,HuAm,,,Smp,,,,,4,3,4,0,1,1,0,,,,,,,1,Am,,,,,Am_S,,
06-0-001781,17.23196446,335.1022498,17.23195598,335.1022555,9.194627436,0.082312556,9.224158305,9.157712058,0.119812831,1.007255769,24.63802803,0.000248021,0.00025991,0.035765548,0.035682823,25.66368571,0.045220977,0.005536847,1,57,1,SLERS,HuBL,,,CpxUnc,,Floor Deposits,,,3,2,3,0,1,1,0,,,,,,,1,BL,,,,,BL_S,,
04-1-011523,-74.00058355,210.9714817,-74.00059276,210.9708433,7.7369018,0.156642301,8.152429374,7.308907201,0.442980617,1.115410163,43.59865128,0.000262368,0.000904241,0.038463151,0.036514284,2.021931816,0.012468107,0.007664592,1,49,1,SLEPS,SmSL,,,Smp,,,,,4,2,4,0,1,0,0,,,,,,,0,SL,,,,,SL_S,,
11-0-003963,-20.08020061,21.65488354,-20.07999668,21.65496992,8.614491451,0.311912883,9.274142785,7.889026456,0.525736451,1.175575064,102.8838035,0.000510916,0.000518535,0.072798327,0.069452437,2.499240528,0.016234072,0.013865855,1,57,1,Rd/SLERS,HuSL,,There are hints of a second lobe inside the one I identified.,CpxFF,,Slump Deposits,,,3,2,3,1,1,1,0,,,,,,,1,SL,,,,,SL_S,,
16-1-008105,-59.21454785,168.1605746,-59.21454143,168.1602227,3.080655569,0.077058405,3.226749456,2.892486374,0.443228376,1.115562543,91.44613044,0.000199148,0.000405254,0.027988018,0.030502667,4.176811022,0.024754576,0.015232277,1,29,2,DLERC/DLEPS,Sm/SmSp,Outer is Splash,,Smp,,,,,4,3,4,0,2,1,1,2,0,0,2,1,1,0,,0,Sp,,,,Sp_S,
15-1-033071,-30.7718824,157.3330135,-30.77196064,157.3328027,7.576133411,0.175066173,7.792318298,7.332520113,0.338424903,1.062706706,94.53632825,0.000454376,0.000511504,0.065165812,0.063356939,6.665231723,0.031462174,0.012778836,1,52,1,Rd/SLERS,HuSL,,There may be additional lobes here.,CpxCPk,Gullies,Slump Deposits / Floor Deposits,,,3,2,3,1,1,1,0,,,,,,,1,SL,,,,,SL_S,,
06-1-002421,38.5959897,276.0699084,38.59599227,276.0698122,4.878429757,0.140712516,5.127417389,4.622585551,0.432690211,1.109209842,24.46608034,0.000422382,0.000605322,0.06781574,0.061965026,6.001502162,0.035373401,0.020887912,0.93267113,29,1,SLEPS,HuSL,,,Smp,,Floor Deposits,,,3,2,3,0,1,0,0,,,,,,,1,SL,,,,,SL_S,,
10-1-008317,15.07586949,71.99012866,15.07584102,71.99016417,10.12778101,0.115729052,10.21862861,10.03449082,0.1889839,1.018350486,152.326287,0.00030168,0.000321783,0.04653668,0.043537495,11.05663553,0.032094875,0.006405489,0.93715501,57,1,SLEPS,HuAm,,,CpxCPk,Gullies,Slump Deposits,,,4,3,4,0,1,0,0,,,,,,,1,Am,,,,,Am_S,,
15-1-036211,-32.64137418,114.4548281,-32.64144917,114.4549386,20.080974,0.343908621,20.61775847,19.55825168,0.316441787,1.054171856,166.2520254,0.000423221,0.000538468,0.066022484,0.061165873,2.807061727,0.012728401,0.004718478,1,134,2,DLERS,HuSL,,,CpxFF,Terraced,Slump Deposits,,,4,2,3,0,2,1,0,2,1,0,,,,1,SL,1,SL,,,SL_S,SL_S,
01-1-001923,51.40280703,234.4040982,51.40310578,234.4039753,13.72118928,0.373833708,14.15931842,13.24689131,0.353167906,1.068878584,99.8266327,0.00039996,0.000612106,0.057656143,0.055442261,2.907496087,0.014471847,0.006241519,1,184,4,MLERS,SmBL,,,CpxCPt,Terraced,,,,3,3,4,0,3,1,0,3,1,0,3,1,0,0,BL,0,BL,0,BL,BL_S,BL_S,BL_S
16-1-006573,-56.87568295,109.5247434,-56.87547513,109.5251112,4.836695908,0.181191243,5.209162421,4.370806478,0.544036922,1.191808067,63.11108339,0.000244815,0.000483423,0.03558872,0.037518021,2.102421601,0.014196919,0.013074993,1,43,1,SLEPC,HuSL,,,Smp,,,,,3,2,4,0,1,0,1,,,,,,,1,SL,,,,,SL_C,,
10-0-000452,7.471076846,5.305929117,7.471033094,5.305880307,6.163185374,0.189694336,6.585757472,5.759177073,0.485044086,1.143524047,125.0322213,0.000448937,0.000391033,0.06316805,0.055165062,3.53173429,0.021371799,0.015500946,0.88666528,35,1,SLERS,HuSL,,,Smp,,,,,4,2,3,0,1,1,0,,,,,,,1,SL,,,,,SL_S,,
02-1-006483,6.928480697,193.0334768,6.928568443,193.0333733,4.721252909,0.158576924,4.802561596,4.614832698,0.276858588,1.040679459,160.6482302,0.000516891,0.000560729,0.079050963,0.076429333,19.29938708,0.077874685,0.024299943,1,28,1,SLERC,HuSL,,,Smp,,,,,4,2,4,0,1,1,1,,,,,,,1,SL,,,,,SL_C,,
05-1-003490,44.69437297,341.4279936,44.69438626,341.4279683,4.348863244,0.057856854,4.357983296,4.334409911,0.103871186,1.005438661,13.61057235,0.000142244,0.000203704,0.021018386,0.020740412,41.16102344,0.064701761,0.0068309,1,61,2,DLEPC,Hu/SmSL,,,,,Floor Deposits,,,2,2,1,0,2,0,1,2,0,1,,,,1,,0,SL,,,,SL_C,
02-1-004991,17.81574592,238.9703642,17.81569538,238.9702551,13.70871707,0.374611404,14.26187825,13.11973459,0.392114728,1.087055394,104.7760617,0.000695182,0.000684916,0.098756509,0.093692647,4.081480911,0.021467746,0.01081321,0.92523426,72,1,SLERS,SmBL,Pseudo-Small-Crown,,CpxFF,Terraced,,,,3,2,3,0,1,1,0,,,,,,,0,BL,,,,,BL_S,,
15-1-029955,-27.52667972,173.5961813,-27.5266972,173.5963456,4.81855048,0.081798527,4.993919347,4.630878789,0.374310374,1.078395608,149.2562938,0.000246348,0.000279025,0.035764575,0.035065667,4.682387463,0.023943034,0.011239458,1,33,1,SLEPS,HuSL,,,Smp,,Floor Deposits,,,3,2,3,0,1,0,0,,,,,,,1,SL,,,,,SL_S,,
10-0-011575,35.31203509,44.52652285,35.31205645,44.52655084,4.991385595,0.060802268,5.006285184,4.966034328,0.126552307,1.008105231,79.24427952,0.00025495,0.000329409,0.036233709,0.039181171,44.68135242,0.083247821,0.010793457,1,33,1,SLERC,HuSL,,,Smp,,Floor Deposits,,,2,2,1,0,1,1,1,,,,,,,1,SL,,,,,SL_C,,
